adlist.c list 	AboutActivity.java saved 
followed space 	toolbar android 
nothing unterminated 	log 
quotes closing 	android view 
quote must 	menu item 
followed 	android 
space nothing 	view view 
unterminated quotes 	android view 
token vector 	animation 
even empty 	accelerate interpolator 
input something 	android 
modify 	view animation 
substituting occurrences 	decelerate interpolator 
characters specified 	android 
corresponding character 	widget image 
instance sdsmapchars 	view android 
mystring 	widget 
effect turning 	progress bar 
hello ell 	android widget 
function returns 	relative 
sds pointer 	layout amap 
always input 	api location 
pointer 	map 
since resize 	location amap 
needed specified 	api 
separator also 	location map 
returns result 	location client 
sds like 	amap 
sdsjoin 	api location 
joins sds 	map location 
wrappers allocators 	client 
used sds 	option amap 
note sds 	api location 
actually use 	map 
macros 	location listener 
defined sdsalloc 	bumptech glide 
order avoid 	glide 
pay overhead 	bumptech glide 
function calls 	load 
define wrappers 	engine disk 
programs 	cache strategy 
sds linked 	xiecc 
want touch 	see weather 
sds internals 	xiecc see 
even use 	weather 
different allocator 	activity xiecc 
run 	see weather 
test times 	common 
order hit 	check version 
first two 	xiecc see 
sds header 	weather 
types sds 	common log 
lib 	xiecc 
library copyright 	see weather 
salvatore sanfilippo 	common xiecc 
antirez gmail 	see 
dot copyright 	weather component 
oran agra 	retrofit singleton 
copyright 	xiecc 
redis labs 	see weather 
inc rights 	modules adatper 
reserved redistribution 	weather 
use source 	adapter xiecc 
binary forms 	see weather 
without 	modules 
modification permitted 	domain setting 
provided following 	xiecc 
conditions met 	see weather 
redistributions source 	modules domain 
code must 	weather 
retain 	xiecc see 
copyright notice 	weather modules 
list conditions 	domain 
following disclaimer 	weather api 
redistributions binary 	xiecc see 
form must 	weather 
reproduce 	modules listener 
copyright notice 	hiding scroll 
list conditions 	listener 
following disclaimer 	xiecc see 
documentation materials 	weather 
provided distribution 	modules activity 
neither 	xiecc see 
name redis 	weather 
names contributors 	modules setting 
may used 	setting activity 
endorse promote 	calendar 
products derived 	observable observer 
software 	android schedulers 
without specific 	android 
prior written 	schedulers functions 
permission software 	action functions 
provided copyright 	func 
holders contributors 	schedulers schedulers 
express 	android 
implied warranties 	annotation suppress 
including limited 	lint android 
implied warranties 	content 
merchantability fitness 	dialog android 
particular purpose 	content intent 
disclaimed 	android 
shall copyright 	net uri 
owner contributors 	android build 
liable direct 	android 
indirect incidental 	bundle android 
special exemplary 	handler android 
consequential 	message 
damages including 	android support 
limited procurement 	design 
substitute goods 	widget collapsing 
services loss 	toolbar layout 
use data 	android 
profits 	support design 
business interruption 	widget coordinator 
however caused 	layout 
theory liability 	android support 
whether contract 	design widget 
strict liability 	floating 
tort 	action button 
including negligence 	android support 
otherwise arising 	design 
way use 	widget navigation 
software even 	view 
advised possibility 	android support 
damage 	design widget 
create sds 	snackbar 
content specified 	android support 
init pointer 	content context 
initlen used 	compat 
init initialized 	android support 
zero 	view gravity 
bytes always 	compat 
termined sds 	android support 
always even 	widget drawer 
create sds 	layout 
mystring sdsnewlen 	android support 
abc 	widget 
print end 	swipe refresh 
however binary 	layout android 
safe contain 	support 
characters middle 	app action 
length stored 	bar drawer 
sds 	toggle 
header empty 	android support 
usually created 	app alert 
order append 	dialog 
use type 	android support 
since type 	widget linear 
good 	layout 
flags pointer 	manager android 
create empty 	support 
zero length 	widget recycler 
sds even 	view android 
always term 	support 
create 	widget toolbar 
sds starting 	android log 
terminated duplicate 	android 
sds free 	view menu 
sds operation 	item android 
performed sds 	view 
length 	view android 
length obtained 	view animation 
strlen considering 	accelerate 
content first 	interpolator android 
term character 	view 
function useful 	animation decelerate 
sds 	interpolator android 
hacked manually 	widget 
way like 	image view 
following example 	android widget 
sdsnew foobar 	progress 
sdsupdatelen sdslen 	bar android 
output 	widget relative 
comment call 	layout 
sdsupdatelen output 	amap api 
modified logical 	location map 
length remains 	location 
bytes modify 	amap api 
sds 	location 
place make 	map location 
empty zero 	client amap 
length however 	api 
existing buffer 	location map 
discarded free 	location client 
space 	option 
next append 	amap api 
operations require 	location map 
allocations number 	location 
bytes previously 	listener bumptech 
available enlarge 	glide 
free 	glide bumptech 
space end 	glide load 
sds caller 	engine 
sure calling 	disk cache 
function overwrite 	strategy xiecc 
addlen bytes 	see 
end 	weather xiecc 
plus one 	see weather 
nul term 	activity 
note change 	xiecc see 
length sds 	weather common 
returned sdslen 	check 
free 	version xiecc 
buffer space 	see 
asap enough 	weather common 
space left 	log xiecc 
use type 	see 
user appending 	weather common 
type 	xiecc see 
able remember 	weather 
empty space 	component retrofit 
sds make 	singleton xiecc 
room must 	see 
called every 	weather modules 
appending 	adatper weather 
operation since 	adapter 
header size 	xiecc see 
changes need 	weather 
move forward 	modules domain 
use realloc 	setting xiecc 
reallocate 	see 
sds free 	weather modules 
space end 	domain weather 
contained remains 	xiecc 
altered next 	see weather 
concatenation operations 	modules domain 
require 	weather 
reallocation call 	api xiecc 
passed sds 	see weather 
longer valid 	modules 
references must 	listener hiding 
substituted pointer 	scroll 
returned 	listener xiecc 
call total 	see weather 
size allocation 	modules 
specifed sds 	activity xiecc 
including sds 	see weather 
header pointer 	modules 
free 	setting setting 
buffer end 	activity calendar 
term pointer 	observable 
actual sds 	observer android 
allocation normally 	schedulers android 
sds referenced 	schedulers 
start 	functions action 
buffer increment 	functions 
sds length 	func schedulers 
decrements left 	schedulers android 
free space 	annotation 
end according 	suppress lint 
incr 	android content 
also term 	dialog 
end function 	android content 
used order 	intent android 
fix length 	net 
user calls 	uri android 
sds 	build android 
make room 	bundle 
writes something 	android handler 
end current 	android 
needs length 	message android 
note possible 	support design 
use 	widget 
negative increment 	collapsing toolbar 
order right 	layout android 
trim usage 	support 
example sds 	design widget 
incr len 	coordinator layout 
sds 	android 
make room 	support design 
possible mount 	widget floating 
following schema 	action 
cat bytes 	button android 
coming kernel 	support 
end 	design widget 
sds without 	navigation view 
copying intermediate 	android 
buffer oldlen 	support design 
sdslen sds 	widget snackbar 
make room 	android 
buffer 	support content 
size nread 	context compat 
read oldlen 	android 
buffer size 	support view 
check nread 	gravity compat 
handle sds 	android 
incr 	support widget 
len nread 	drawer 
avoid compilation 	layout android 
warnings grow 	support widget 
sds specified 	swipe 
length bytes 	refresh layout 
part 	android support 
original length 	app 
sds zero 	action bar 
specified length 	drawer toggle 
smaller current 	android 
length operation 	support app 
performed 	alert dialog 
make sure 	android 
added region 	support widget 
doesn contain 	linear 
garbage also 	layout manager 
trailing append 	android support 
specified 	widget 
binary safe 	recycler view 
pointed len 	android support 
bytes end 	widget 
specified sds 	toolbar android 
call passed 	log android 
sds 	view 
longer valid 	menu item 
references must 	android view 
substituted pointer 	view 
returned call 	android view 
append specified 	animation 
termianted 	accelerate interpolator 
sds call 	android view 
passed sds 	animation 
longer valid 	decelerate interpolator 
references must 	android widget 
substituted pointer 	image 
returned 	view android 
call append 	widget progress 
specified sds 	bar 
existing sds 	android widget 
call modified 	relative layout 
sds longer 	amap 
valid 	api location 
references must 	map 
substituted pointer 	location amap 
returned call 	api location 
destructively modify 	map 
sds hold 	location client 
specified 	amap api 
binary safe 	location 
pointed length 	map location 
len bytes 	client option 
like sdscpylen 	amap 
must termined 	api location 
length 	map location 
obtained strlen 	listener 
helper sdscatlonglong 	bumptech glide 
actual number 	glide 
conversion must 	bumptech glide 
point room 	load engine 
least 	disk 
sds llstr 	cache strategy 
size bytes 	xiecc see 
function returns 	weather 
length terminated 	xiecc see 
representation stored 	weather activity 
generate 	xiecc 
representation method 	see weather 
produces reversed 	common check 
compute length 	version 
term reverse 	xiecc see 
identical sdsll 	weather 
str 	common log 
type generate 	xiecc see 
representation method 	weather 
produces reversed 	common xiecc 
compute length 	see weather 
term reverse 	component 
create 	retrofit singleton 
sds much 	xiecc see 
faster sdscatprintf 	weather 
sdsempty lld 	modules adatper 
like sdscatprintf 	weather adapter 
gets list 	xiecc 
instead 	see weather 
variadic start 	modules 
buffer speed 	domain setting 
possible revert 	xiecc see 
heap allocation 	weather 
buffers two 	modules domain 
times 	weather xiecc 
bigger every 	see 
time fail 	weather modules 
fit current 	domain weather 
buffer size 	api 
concat obtained 	xiecc see 
sds 	weather modules 
append sds 	listener 
obtained alike 	hiding scroll 
format specifier 	listener 
call modified 	xiecc see 
sds longer 	weather modules 
valid 	activity 
references must 	xiecc see 
substituted pointer 	weather modules 
returned call 	setting 
example sdsnew 	setting activity 
sum sdscatprintf 	calendar observable 
often 	observer 
need create 	android schedulers 
scratch alike 	android schedulers 
format need 	functions 
use sdsempty 	action functions 
target sdscatprintf 	func 
sdsempty 	schedulers schedulers 
format args 	android annotation 
function similar 	suppress 
sdscatprintf much 	lint android 
faster rely 	content dialog 
sprintf family 	android 
functions 	content intent 
implemented libc 	android net 
often slow 	uri 
moreover directly 	android build 
handling sds 	android bundle 
data concatenated 	android 
provides 	handler android 
performance improvement 	message 
however function 	android support 
handles incompatible 	design widget 
subset alike 	collapsing 
format specifiers 	toolbar layout 
sds 	android support 
bit integer 	design 
bit integer 	widget coordinator 
verbatim character 	layout android 
next format 	support 
specifier process 	design widget 
position 	floating action 
next write 	button 
dest str 	android support 
make sure 	design 
always space 	widget navigation 
least handle 	view android 
generally 	support 
unknown term 	design widget 
part left 	snackbar android 
right composed 	support 
contiguous characters 	content context 
found cset 	compat android 
terminted 	support 
call modified 	view gravity 
sds longer 	compat android 
valid references 	support 
must substituted 	widget drawer 
pointer returned 	layout 
call 	android support 
example sdsnew 	widget swipe 
hello world 	refresh 
sdstrim output 	layout android 
hello world 	support app 
turn 	action 
smaller equal 	bar drawer 
containing substring 	toggle android 
specified start 	support 
end indexes 	app alert 
start end 	dialog android 
negative 	support 
means last 	widget linear 
character penultimate 	layout 
character forth 	manager android 
interval inclusive 	support widget 
start end 	recycler 
characters 	view android 
part resulting 	support widget 
modified place 	toolbar 
example sdsnew 	android log 
hello world 	android view 
sdsrange ello 	menu 
world 	item android 
apply tolower 	view view 
every character 	android 
sds apply 	view animation 
toupper every 	accelerate 
character sds 	interpolator android 
compare 	view animation 
two sds 	decelerate 
memcmp positive 	interpolator android 
negative exactly 	widget image 
binary two 	view 
share exactly 	android widget 
prefix 	progress bar 
one two 	android 
additional characters 	widget relative 
longer considered 	layout amap 
greater smaller 	api 
one split 	location map 
separator 	location 
sep sds 	amap api 
returned count 	location map 
reference number 	location 
tokens returned 	client amap 
memory zero 	api location 
length 	map 
zero length 	location client 
separator returned 	option amap 
note sep 	api 
able split 	location map 
multi character 	location listener 
separator 	bumptech 
example sdssplit 	glide glide 
foo bar 	bumptech 
two elements 	glide load 
foo bar 	engine disk 
version function 	cache 
binary 	strategy xiecc 
safe requires 	see weather 
length arguments 	xiecc 
sdssplit function 	see weather 
zero terminated 	activity xiecc 
make sure 	see 
room 	weather common 
next element 	check 
one search 	version xiecc 
separator skip 	see weather 
separator element 	common 
sure room 	log xiecc 
tokens 	see weather 
free result 	common 
returned sdssplitlen 	xiecc see 
nothing tokens 	weather component 
append sds 	retrofit 
escaped representation 	singleton xiecc 
non 	see weather 
printable characters 	modules 
tested isprint 	adatper weather 
turned escapes 	adapter 
form hex 	xiecc see 
number call 	weather modules 
modified 	domain 
sds longer 	setting xiecc 
valid references 	see weather 
must substituted 	modules 
pointer returned 	domain weather 
call helper 	xiecc see 
function 	weather 
sdssplitargs returns 	modules domain 
non zero 	weather api 
valid hex 	xiecc 
digit helper 	see weather 
function sdssplitargs 	modules 
converts 	listener hiding 
hex digit 	scroll listener 
integer split 	xiecc 
line arguments 	see weather 
every argument 	modules activity 
following programming 	xiecc 
language 	see weather 
repl alike 	modules setting 
form foo 	setting 
bar newline 	activity calendar 
supported xff 	observable observer 
otherstuff number 	android 
arguments 	schedulers android 
stored argc 	schedulers 
sds returned 	functions action 
caller free 	functions func 
resulting sds 	schedulers 
sdsfreesplitres note 	schedulers android 
sdscatrepr 	annotation suppress 
able convert 	lint 
back quoted 	android content 
format sdssplitargs 	dialog android 
able parse 	content 
function returns 	intent android 
allocated 	net uri 
tokens success 	android 
even input 	build android 
empty input 	bundle 
contains unbalanced 	android handler 
quotes closed 	android message 
quotes 	android 
followed non 	support design 
space characters 	widget collapsing 
foo bar 	toolbar 
foo skip 	layout android 
blanks token 	support design 
quotes 	widget 
single quotes 	coordinator layout 
closing quote 	android support 
must followed 	design 
space nothing 	widget floating 
unterminated quotes 	action 
closing 	button android 
quote must 	support design 
followed space 	widget 
nothing unterminated 	navigation view 
quotes token 	android support 
vector even 	design 
empty 	widget snackbar 
input something 	android support 
modify substituting 	content 
occurrences characters 	context compat 
specified corresponding 	android support 
character instance 	view 
sdsmapchars 	gravity compat 
mystring effect 	android 
turning hello 	support widget 
ell function 	drawer layout 
returns sds 	android 
pointer always 	support widget 
input 	swipe refresh 
pointer since 	layout 
resize needed 	android support 
specified separator 	app action 
also returns 	bar 
result sds 	drawer toggle 
like 	android support 
sdsjoin joins 	app 
sds wrappers 	alert dialog 
allocators used 	android 
sds note 	support widget 
sds actually 	linear layout 
use 	manager 
macros defined 	android support 
sdsalloc order 	widget recycler 
avoid pay 	view 
overhead function 	android support 
calls define 	widget toolbar 
wrappers 	android 
programs sds 	log android 
linked want 	view menu 
touch sds 	item 
internals even 	android view 
use different 	view 
allocator 	android view 
run test 	animation accelerate 
times order 	interpolator 
hit first 	android view 
two sds 	animation decelerate 
header types 	interpolator 
sds.h 	android widget 
flags buf 	image view 
len alloc 	android 
flags buf 	widget progress 
len alloc 	bar android 
flags buf 	widget 
len 	relative layout 
alloc flags 	amap 
buf len 	api location 
alloc flags 	map location 
buf flags 	amap 
flags newlen 	api location 
flags 	map location 
inc flags 	client 
newlen flags 	amap api 
newlen flags 	location map 
init initlen 	location 
init len 	client option 
len 	amap api 
len fmt 	location 
attribute fmt 	map location 
fmt cset 	listener 
start end 	bumptech glide 
len sep 	glide bumptech 
seplen 	glide 
count tokens 	load engine 
count len 	disk cache 
line argc 	strategy 
setlen argv 	xiecc see 
argc sep 	weather xiecc 
argv 	see 
argc sep 	weather activity 
seplen addlen 	xiecc see 
incr size 	weather 
ptr size 	common check 
ptr argc 	version 
argv 	xiecc see 
sds type 	weather common 
len sds 	log 
hdr sds 	xiecc see 
hdr sds 	weather common 
hdr sds 	xiecc 
hdr 	see weather 
sds hdr 	component retrofit 
sds hdr 	singleton 
sds hdr 	xiecc see 
sds hdr 	weather modules 
sds hdr 	adatper 
sds 	weather adapter 
hdr sds 	xiecc 
hdr sds 	see weather 
hdr sds 	modules domain 
type len 	setting 
sds hdr 	xiecc see 
sds 	weather modules 
hdr sds 	domain 
hdr sds 	weather xiecc 
hdr sds 	see weather 
type len 	modules 
sds hdr 	domain weather 
sds 	api xiecc 
hdr sds 	see 
hdr sds 	weather modules 
hdr sds 	listener 
hdr sds 	hiding scroll 
hdr sds 	listener xiecc 
hdr 	see 
sds hdr 	weather modules 
sds lib 	activity xiecc 
library copyright 	see 
salvatore sanfilippo 	weather modules 
antirez gmail 	setting setting 
dot 	activity 
copyright oran 	calendar observable 
agra copyright 	observer android 
redis labs 	schedulers 
inc rights 	android schedulers 
reserved redistribution 	functions 
use 	action functions 
source binary 	func schedulers 
forms without 	schedulers 
modification permitted 	android annotation 
provided following 	suppress lint 
conditions met 	android 
redistributions 	content dialog 
source code 	android content 
must retain 	intent 
copyright notice 	android net 
list conditions 	uri android 
following disclaimer 	build 
redistributions 	android bundle 
binary form 	android 
must reproduce 	handler android 
copyright notice 	message android 
list conditions 	support 
following disclaimer 	design widget 
documentation 	collapsing toolbar 
materials provided 	layout 
distribution neither 	android support 
name redis 	design widget 
names contributors 	coordinator 
may used 	layout android 
endorse 	support design 
promote products 	widget 
derived software 	floating action 
without specific 	button 
prior written 	android support 
permission software 	design widget 
provided 	navigation 
copyright holders 	view android 
contributors express 	support design 
implied warranties 	widget 
including limited 	snackbar android 
implied warranties 	support content 
merchantability 	context 
fitness particular 	compat android 
purpose disclaimed 	support view 
shall copyright 	gravity 
owner contributors 	compat android 
liable direct 	support 
indirect 	widget drawer 
incidental special 	layout android 
exemplary consequential 	support 
damages including 	widget swipe 
limited procurement 	refresh layout 
substitute goods 	android 
services 	support app 
loss use 	action bar 
data profits 	drawer 
business interruption 	toggle android 
however caused 	support app 
theory liability 	alert 
whether 	dialog android 
contract strict 	support 
liability tort 	widget linear 
including negligence 	layout manager 
otherwise arising 	android 
way use 	support widget 
software 	recycler view 
even advised 	android 
possibility damage 	support widget 
note sdshdr 	toolbar android 
never used 	log 
access flags 	android view 
directly 	menu item 
however document 	android 
layout type 	view view 
sds lsb 	android 
type msb 	view animation 
length used 	accelerate interpolator 
excluding 	android 
header terminator 	view animation 
lsb type 	decelerate interpolator 
unused bits 	android 
used excluding 	widget image 
header terminator 	view android 
lsb 	widget 
type unused 	progress bar 
bits used 	android widget 
excluding header 	relative 
terminator lsb 	layout amap 
type unused 	api 
bits 	location map 
used excluding 	location amap 
header terminator 	api 
lsb type 	location map 
unused bits 	location client 
sdsalloc sdsavail 	amap 
sdslen 	api location 
nothing type 	map location 
total allocation 	client 
info low 	option amap 
level functions 	api location 
exposed user 	map 
api 	location listener 
export allocator 	bumptech 
used sds 	glide glide 
program sds 	bumptech glide 
sometimes program 	load 
sds linked 	engine disk 
may 	cache strategy 
use different 	xiecc 
allocators may 	see weather 
want allocate 	xiecc see 
free things 	weather 
sds respectively 	activity xiecc 
free 	see 
allocate sds 	weather common 
lib library 	check version 
copyright salvatore 	xiecc 
sanfilippo antirez 	see weather 
gmail dot 	common log 
copyright 	xiecc 
oran agra 	see weather 
copyright redis 	common xiecc 
labs inc 	see 
rights reserved 	weather component 
redistribution use 	retrofit singleton 
source 	xiecc 
binary forms 	see weather 
without modification 	modules 
permitted provided 	adatper weather 
following conditions 	adapter xiecc 
met redistributions 	see 
source 	weather modules 
code must 	domain setting 
retain copyright 	xiecc 
notice list 	see weather 
conditions following 	modules domain 
disclaimer redistributions 	weather 
binary 	xiecc see 
form must 	weather modules 
reproduce copyright 	domain 
notice list 	weather api 
conditions following 	xiecc 
disclaimer documentation 	see weather 
materials 	modules listener 
provided distribution 	hiding 
neither name 	scroll listener 
redis names 	xiecc see 
contributors may 	weather 
used endorse 	modules activity 
promote 	xiecc see 
products derived 	weather 
software without 	modules setting 
specific prior 	setting activity 
written permission 	calendar 
software provided 	observable observer 
copyright 	android 
holders contributors 	schedulers android 
express implied 	schedulers functions 
warranties including 	action 
limited implied 	functions func 
warranties merchantability 	schedulers schedulers 
fitness 	android 
particular purpose 	annotation suppress 
disclaimed shall 	lint android 
copyright owner 	content 
contributors liable 	dialog android 
direct indirect 	content intent 
incidental 	android 
special exemplary 	net uri 
consequential damages 	android 
including limited 	build android 
procurement substitute 	bundle android 
goods services 	handler 
loss 	android message 
use data 	android support 
profits business 	design 
interruption however 	widget collapsing 
caused theory 	toolbar layout 
liability whether 	android 
contract 	support design 
strict liability 	widget coordinator 
tort including 	layout 
negligence otherwise 	android support 
arising way 	design 
use 	widget floating 
software even 	action button 
advised possibility 	android 
damage note 	support design 
sdshdr never 	widget navigation 
used access 	view 
flags 	android support 
directly however 	design widget 
document layout 	snackbar 
type sds 	android support 
lsb type 	content context 
msb length 	compat 
used 	android support 
excluding header 	view 
terminator lsb 	gravity compat 
type unused 	android support 
bits used 	widget 
excluding header 	drawer layout 
terminator 	android support 
lsb type 	widget 
unused bits 	swipe refresh 
used excluding 	layout android 
header terminator 	support 
lsb type 	app action 
unused 	bar drawer 
bits used 	toggle 
excluding header 	android support 
terminator lsb 	app 
type unused 	alert dialog 
bits sdsalloc 	android support 
sdsavail 	widget 
sdslen nothing 	linear layout 
type total 	manager android 
allocation info 	support 
low level 	widget recycler 
functions exposed 	view android 
user 	support 
api export 	widget toolbar 
allocator used 	android log 
sds program 	android 
sds sometimes 	view menu 
program sds 	item 
linked 	android view 
may use 	view android 
different allocators 	view 
may want 	animation accelerate 
allocate free 	interpolator android 
things sds 	view 
respectively 	animation decelerate 
free allocate 	interpolator android 
flags buf 	widget 
len alloc 	image view 
flags buf 	android widget 
len alloc 	progress 
flags 	bar android 
buf len 	widget 
alloc flags 	relative layout 
buf len 	amap api 
alloc flags 	location 
buf flags 	map location 
flags 	amap api 
newlen flags 	location 
inc flags 	map location 
newlen flags 	client amap 
newlen flags 	api 
init initlen 	location map 
init 	location client 
len len 	option 
len fmt 	amap api 
attribute fmt 	location 
fmt cset 	map location 
start end 	listener bumptech 
len 	glide 
sep seplen 	glide bumptech 
count tokens 	glide load 
count len 	engine 
line argc 	disk cache 
setlen argv 	strategy xiecc 
argc 	see 
sep argv 	weather xiecc 
argc sep 	see weather 
seplen addlen 	activity 
incr size 	xiecc see 
ptr size 	weather 
ptr 	common check 
argc argv 	version xiecc 
sds type 	see 
len sds 	weather common 
hdr sds 	log xiecc 
hdr sds 	see 
hdr 	weather common 
sds hdr 	xiecc see 
sds hdr 	weather 
sds hdr 	component retrofit 
sds hdr 	singleton xiecc 
sds hdr 	see 
sds 	weather modules 
hdr sds 	adatper 
hdr sds 	weather adapter 
hdr sds 	xiecc see 
hdr sds 	weather 
type len 	modules domain 
sds 	setting xiecc 
hdr sds 	see 
hdr sds 	weather modules 
hdr sds 	domain weather 
hdr sds 	xiecc 
type len 	see weather 
sds 	modules domain 
hdr sds 	weather 
hdr sds 	api xiecc 
hdr sds 	see 
hdr sds 	weather modules 
hdr sds 	listener hiding 
hdr 	scroll 
sds hdr 	listener xiecc 
sds hdr 	see weather 
sds lib 	modules 
library copyright 	activity xiecc 
salvatore sanfilippo 	see weather 
antirez 	modules 
gmail dot 	setting setting 
copyright oran 	activity calendar 
agra copyright 	observable 
redis labs 	observer android 
inc rights 	schedulers 
reserved 	android schedulers 
redistribution use 	functions action 
source binary 	functions 
forms without 	func schedulers 
modification permitted 	schedulers android 
provided following 	annotation 
conditions 	suppress lint 
met redistributions 	android content 
source code 	dialog 
must retain 	android content 
copyright notice 	intent android 
list conditions 	net 
following 	uri android 
disclaimer redistributions 	build 
binary form 	android bundle 
must reproduce 	android handler 
copyright notice 	android 
list conditions 	message android 
following 	support design 
disclaimer documentation 	widget 
materials provided 	collapsing toolbar 
distribution neither 	layout android 
name redis 	support 
names contributors 	design widget 
may 	coordinator layout 
used endorse 	android 
promote products 	support design 
derived software 	widget 
without specific 	floating action 
prior written 	button android 
permission 	support 
software provided 	design widget 
copyright holders 	navigation view 
contributors express 	android 
implied warranties 	support design 
including limited 	widget snackbar 
implied 	android 
warranties merchantability 	support content 
fitness particular 	context compat 
purpose disclaimed 	android 
shall copyright 	support view 
owner contributors 	gravity 
liable 	compat android 
direct indirect 	support widget 
incidental special 	drawer 
exemplary consequential 	layout android 
damages including 	support widget 
limited procurement 	swipe 
substitute 	refresh layout 
goods services 	android support 
loss use 	app 
data profits 	action bar 
business interruption 	drawer toggle 
however caused 	android 
theory 	support app 
liability whether 	alert 
contract strict 	dialog android 
liability tort 	support widget 
including negligence 	linear 
otherwise arising 	layout manager 
way 	android support 
use software 	widget 
even advised 	recycler view 
possibility damage 	android support 
note sdshdr 	widget 
never used 	toolbar android 
access 	log android 
flags directly 	view 
however document 	menu item 
layout type 	android 
sds lsb 	view view 
type msb 	android view 
length 	animation 
used excluding 	accelerate interpolator 
header terminator 	android view 
lsb type 	animation 
unused bits 	decelerate interpolator 
used excluding 	android widget 
header 	image 
terminator lsb 	view android 
type unused 	widget progress 
bits used 	bar 
excluding header 	android widget 
terminator lsb 	relative 
type 	layout amap 
unused bits 	api location 
used excluding 	map 
header terminator 	location amap 
lsb type 	api location 
unused bits 	map 
sdsalloc 	location client 
sdsavail sdslen 	amap api 
nothing type 	location 
total allocation 	map location 
info low 	client option 
level functions 	amap 
exposed 	api location 
user api 	map 
export allocator 	location listener 
used sds 	bumptech glide 
program sds 	glide 
sometimes program 	bumptech glide 
sds 	load engine 
linked may 	disk 
use different 	cache strategy 
allocators may 	xiecc see 
want allocate 	weather 
free things 	xiecc see 
sds 	weather activity 
respectively free 	xiecc 
allocate sds 	see weather 
lib library 	common 
copyright salvatore 	check version 
sanfilippo antirez 	xiecc see 
gmail 	weather 
dot copyright 	common log 
oran agra 	xiecc see 
copyright redis 	weather 
labs inc 	common xiecc 
rights reserved 	see weather 
redistribution 	component 
use source 	retrofit singleton 
binary forms 	xiecc 
without modification 	see weather 
permitted provided 	modules adatper 
following conditions 	weather 
met 	adapter xiecc 
redistributions source 	see weather 
code must 	modules 
retain copyright 	domain setting 
notice list 	xiecc see 
conditions following 	weather 
disclaimer 	modules domain 
redistributions binary 	weather xiecc 
form must 	see 
reproduce copyright 	weather modules 
notice list 	domain 
conditions following 	weather api 
disclaimer 	xiecc see 
documentation materials 	weather 
provided distribution 	modules listener 
neither name 	hiding scroll 
redis names 	listener 
contributors may 	xiecc see 
used 	weather modules 
endorse promote 	activity 
products derived 	xiecc see 
software without 	weather modules 
specific prior 	setting 
written permission 	setting activity 
software 	calendar 
provided copyright 	observable observer 
holders contributors 	android schedulers 
express implied 	android 
warranties including 	schedulers functions 
limited implied 	action functions 
warranties 	func 
merchantability fitness 	schedulers schedulers 
particular purpose 	android annotation 
disclaimed shall 	suppress 
copyright owner 	lint android 
contributors liable 	content dialog 
direct 	android 
indirect incidental 	content intent 
special exemplary 	android 
consequential damages 	net uri 
including limited 	android build 
procurement substitute 	android 
goods 	bundle android 
services loss 	handler android 
use data 	message 
profits business 	android support 
interruption however 	design widget 
caused theory 	collapsing 
liability 	toolbar layout 
whether contract 	android support 
strict liability 	design 
tort including 	widget coordinator 
negligence otherwise 	layout 
arising way 	android support 
use 	design widget 
software even 	floating 
advised possibility 	action button 
damage note 	android support 
sdshdr never 	design 
used access 	widget navigation 
flags 	view android 
directly however 	support 
document layout 	design widget 
type sds 	snackbar android 
lsb type 	support 
msb length 	content context 
used 	compat 
excluding header 	android support 
terminator lsb 	view gravity 
type unused 	compat 
bits used 	android support 
excluding header 	widget drawer 
terminator 	layout 
lsb type 	android support 
unused bits 	widget swipe 
used excluding 	refresh 
header terminator 	layout android 
lsb type 	support app 
unused 	action 
bits used 	bar drawer 
excluding header 	toggle 
terminator lsb 	android support 
type unused 	app alert 
bits sdsalloc 	dialog 
sdsavail 	android support 
sdslen nothing 	widget linear 
type total 	layout 
allocation info 	manager android 
low level 	support widget 
functions exposed 	recycler 
user 	view android 
api export 	support widget 
allocator used 	toolbar 
sds program 	android log 
sds sometimes 	android 
program sds 	view menu 
linked 	item android 
may use 	view 
different allocators 	view android 
may want 	view animation 
allocate free 	accelerate 
things sds 	interpolator android 
respectively 	view animation 
free allocate 	decelerate 
sds.h flags 	interpolator android 
buf len 	widget image 
alloc flags 	view 
buf len 	android widget 
alloc 	progress 
flags buf 	bar android 
len alloc 	widget relative 
flags buf 	layout 
len alloc 	amap api 
flags buf 	location map 
flags 	location 
flags newlen 	amap api 
flags inc 	location map 
flags newlen 	location 
flags newlen 	client amap 
flags init 	api location 
initlen 	map 
init len 	location client 
len len 	option 
fmt attribute 	amap api 
fmt fmt 	location map 
cset start 	location 
end 	listener bumptech 
len sep 	glide glide 
seplen count 	bumptech 
tokens count 	glide load 
len line 	engine disk 
argc setlen 	cache 
argv 	strategy xiecc 
argc sep 	see weather 
argv argc 	xiecc 
sep seplen 	see weather 
addlen incr 	activity 
size ptr 	xiecc see 
size 	weather common 
ptr argc 	check 
argv sds 	version xiecc 
type len 	see weather 
sds hdr 	common 
sds hdr 	log xiecc 
sds 	see weather 
hdr sds 	common 
hdr sds 	xiecc see 
hdr sds 	weather component 
hdr sds 	retrofit 
hdr sds 	singleton xiecc 
hdr 	see 
sds hdr 	weather modules 
sds hdr 	adatper weather 
sds hdr 	adapter 
sds hdr 	xiecc see 
sds type 	weather modules 
len 	domain 
sds hdr 	setting xiecc 
sds hdr 	see weather 
sds hdr 	modules 
sds hdr 	domain weather 
sds type 	xiecc see 
