abspath.c path 	AboutActivity.java saved 
every means 	android content 
follows imin imin 	dialog 
imin imin 	android bundle 
imin imin imin 	android preference 
imin imin 	preference 
imin remains investigate 	android preference 
imin investigate 	preference fragment 
looking imin imin 	android 
imin imin 	support design 
note usual diff 	widget snackbar 
definition combined 	android 
diff diff paths 	support app 
generator used 	alert 
plain diffs 	dialog xiecc 
generation please keep 	see weather 
attention common 	xiecc 
working code order 	see weather 
slow note 	application xiecc 
nparent must imin 	see 
load parents 	weather common 
first probably already 	cache xiecc 
cached log 	see 
diff parses commit 	weather common 
parent calling 	file size 
via diff sha 	xiecc 
parent commit 	see weather 
enable recursion indefinitely 	modules 
comparing finished 	domain setting 
trees done lookup 	android content 
imin argmin 	dialog 
mark entries whether 	android bundle 
imin along 	android preference 
way fixup 	preference 
markings entries imin 	android preference 
imin compare 	preference fragment 
imin imin either 	android 
imin diff 	support design 
imin diff imin 	widget snackbar 
imin imin 	android 
imin imin imin 	support app 
imin imin 	alert 
free pre allocated 	dialog xiecc 
last element 	see weather 
see path appendnew 	xiecc 
details look 	see weather 
like resulting diff 	application xiecc 
might due 	see 
rename single entry 	weather common 
valid previous 	cache xiecc 
file follow rename 	see 
code specific 	weather common 
need exactly 	file size 
one path magic 	xiecc 
matches one 	see weather 
path supported reject 	modules 
wildcards well 	domain setting 
unfortunately haven got 	android content 
reliable way 	dialog 
detect foo bar 	android bundle 
fact wildcards 	android preference 
nowildcard len merely 	preference 
hint optimization 	android preference 
slip wildmatch taught 	preference fragment 
dry run 	android 
mode returns wildcard 	support design 
info file 	widget snackbar 
creation entry diff 	android 
queue remember 	support app 
filepairing see 	alert 
find interesting one 	dialog xiecc 
found source 	see weather 
use diff queued 	xiecc 
diff also 	see weather 
use path future 	application xiecc 
file pairs 	see 
around update path 	weather common 
use caller 	cache xiecc 
expects vanilla filepairs 	see 
later call 	weather common 
diffcore std makes 	file size 
sort renames 	xiecc 
among things already 	see weather 
found renames 	modules 
signal diffcore std 	domain setting 
muck rename 	android content 
information discard non 	dialog 
relevant file 	android bundle 
pairs instate 	android preference 
one want might 	preference 
either original 	android preference 
one rename copy 	preference fragment 
found tree-walk.c 	android 
str modep mode 	support design 
desc buf 	widget snackbar 
size path mode 	android 
len desc 	support app 
buffer size desc 	alert 
sha size 	dialog xiecc 
buf desc buf 	see weather 
end size 	xiecc 
len desc entry 	see weather 
info pathlen 	application xiecc 
dummy path info 	see 
len pathlen 	weather common 
prev ptr skip 	cache xiecc 
len len 	see 
cmp first 	weather common 
first len path 	file 
len probe 	size xiecc 
skip skip info 	see weather 
still interesting 	modules 
info error entry 	domain setting 
interesting traverse 	android content 
path trees used 	dialog 
mask dirmask 	android bundle 
first first len 	android preference 
len size 	preference 
sha name result 	android preference 
mode namelen 	preference fragment 
entry sha entrylen 	android 
cmp sha 	support design 
name sha mode 	widget 
retval size 	snackbar android 
root parent link 	support app 
len len 	alert 
contents contents 	dialog xiecc 
start parent match 	see weather 
entry item 	xiecc 
match len ret 	see weather 
item match 	application xiecc 
matchlen item baselen 	see 
matched match 	weather common 
matchlen dirlen item 	cache xiecc 
match str 	see 
matched entry offset 	weather common 
die mode 	file 
die strlen canon 	size xiecc 
mode decode 	see weather 
entry read reference 	modules 
die sha 	domain setting 
hex init desc 	android content 
memset die 	dialog 
decode entry 	android bundle 
update entry strlen 	android preference 
memset entry 	preference 
len memcpy entry 	android preference 
len name 	preference fragment 
compare memcmp entry 	android 
clear entry 	support design 
extract update entry 	widget 
entry len 	snackbar android 
check entry match 	support app 
entry clear 	alert 
entry extract entry 	dialog xiecc 
len check 	see weather 
entry match entry 	xiecc 
clear update 	see weather 
entry entry clear 	application xiecc 
update entry 	see 
xmalloc free entry 	weather common 
interesting xmalloc 	cache xiecc 
xcalloc strbuf 	see 
grow make traverse 	weather common 
path strbuf 	file 
setlen xstrndup xstrndup 	size xiecc 
extended entry 	see weather 
extract entry len 	modules 
name compare 	domain setting 
extended entry extract 	android content 
entry len 	dialog 
name compare entry 	android bundle 
clear isdir 	android preference 
prune traversal update 	preference 
extended entry 	android preference 
free free extended 	preference fragment 
entry free 	android 
free strbuf release 	support design 
strlen entry 	widget 
extract entry len 	snackbar android 
update entry 	support app 
memcmp hashcpy 	alert 
isdir hashcpy entry 	dialog xiecc 
read reference 	see weather 
hashcpy free init 	xiecc 
desc find 	see weather 
entry free init 	application xiecc 
desc strchr 	see 
strcmp strbuf free 	weather common 
init desc 	cache xiecc 
strbuf hashcpy find 	see 
entry isdir 	weather common 
hashcpy strbuf isreg 	file 
hashcpy islnk 	size xiecc 
read sha file 	see weather 
strbuf addstr 	modules 
free init desc 	domain setting 
strbuf splice 	simple name 
free free free 	create 
strbuf release 	preferences resource 
strncmp strncmp 	instance activity 
basecmp basecmp basecmp 	find 
match dir 	preference find 
prefix within depth 	preference find 
isdir basecmp 	preference 
match entry git 	summary resources 
fnmatch isdir 	summary 
match wildcard strbuf 	resources summary 
git fnmatch 	file files 
strbuf setlen strbuf 	size 
setlen isdir 	preference click 
match match isdir 	listener preference 
initialize descriptor 	click 
entry caller wants 	listener preference 
pick nothing 	click listener 
looking name trivially 	show 
happy three 	icon dialog 
possibilities could hiding 	clear summary 
behind sorts 	file 
earlier matter 	files size 
subtree blob otherwise 	make 
know won 	view show 
appear without scanning 	show update 
common first 	dialog 
reading sync trees 	builder activity 
comes matter 	title single 
len len memcmp 	choice 
len len 	items resources 
keep looking comes 	show builder 
looking keep 	activity 
looking cannot appear 	title single 
extended desc 	choice items 
extract first name 	resources 
entry paying 	show created 
attention candidate first 	hugo 
name importantly 	setting activity 
looking entry 	activity setting 
entries sorts earlier 	fragment 
representation name 	attach context 
skip process named 	context attach 
entry first 	context 
remember haven processed 	activity setting 
first entry 	activity context 
yet later call 	Time.java 
skip entry 	date format 
processed early update 	date date 
extended entry 	format 
called underlying entries 	date date 
blob blob 	format 
blob first asks 	date date 
remember still 	date format 
need process extract 	date 
processing entry 	suppress lint 
call caller know 	simple date 
calling update 	format 
extended entry 	date android 
remember processed already 	annotation suppress 
extract first 	lint 
entry desc skip 	text simple 
ones already 	date format 
returned earlier rounds 	date 
found found 	android annotation 
processed entry already 	suppress 
caller wants 	lint text 
first nothing need 	simple date 
look ahead 	format 
suspect subtree whose 	date android 
name first 	annotation suppress 
may hiding behind 	lint 
current entry 	text simple 
path keep looking 	date format 
returned entry 	date 
early may current 	android annotation 
location even 	suppress lint 
though may 	text 
subtree behind another 	simple date 
may want 	format 
grab trees match 	date android 
cull ones 	annotation suppress 
earliest entry earliest 	lint 
name trees 	text simple 
linux built max 	date format 
number symlinks 	date 
follow limit course 	android annotation 
affect git 	suppress lint 
reasonable choice find 	text 
entry following 	simple date 
symlinks sha assumed 	format date 
root repository 	android 
symlink points outside 	annotation suppress 
repository link 	lint 
foo root level 	text simple 
link foo 	date format 
portion link 	date 
outside repository returned 	android annotation 
result path 	suppress lint 
mode assumed result 	text 
path uninitialized 	simple date 
symlinks end result 	format date 
symlink chain 	android 
points inside repository 	annotation suppress 
result filled 	lint text 
sha found mode 	simple 
hold mode 	date format 
see code follow 	date 
symlink result 	android annotation 
description values descend 	suppress lint 
handle symlinks 	text 
removing leading slashes 	simple date 
split namebuf 	format date 
first component 	android 
remainder could end 	annotation suppress 
namebuf appears 	lint text 
symlink could end 	simple 
via symlink 	date format 
dir look first 	date android 
path component 	annotation 
descend follow symlink 	suppress lint 
many symlinks 	text 
followed point followed 	simple date 
least one 	format date 
symlink error need 	android 
report signals 	annotation suppress 
haven called strncmp 	lint text 
never interesting 	simple 
trick requires exact 	date format 
matching could 	date android 
something clever inexact 	annotation 
matching trickier 	suppress lint 
forget strcasecmp 	text simple 
locale dependent least 	date 
glibc disable 	format date 
worse wildcard codepath 	android 
pattern seen 	annotation suppress 
match sorts later 	lint text 
current path 	simple 
match sort strictly 	date format 
earlier path 	date simple 
common parts come 	date 
even means 	format format 
least one pathspec 	date simple 
would sort 	date 
equal later path 	format format 
currently looking 	date simple 
words never reached 	date 
point iterating 	format format 
pathspecs means pathspecs 	date 
either outside 	simple date 
inside sorts 	format format 
strictly earlier current 	yyyy 
one either 	yyyy param 
never match subsequent 	date Util.java 
entries initialized 	context 
variable returned allowing 	manager info 
caller terminate 	version context 
early cheated strncmp 	manager 
common part 	info version 
matched earlier hit 	context connectivity 
rejected path 	manager 
leading directory shorter 	network info 
match match 	context 
entry check prefix 	info manager 
part matched 	connectivity manager 
sensitively entry directory 	network 
part prefix 	info android 
rematched eventually basecmp 	content context 
special treatment 	android 
prefix icase 	content info 
aware compare subdirectory 	android content 
path specified 	manager 
interesting random prefix 	android net 
match perform 	connectivity manager 
matching leading non 	android 
wildcard part 	net network 
pathspec item nowildcard 	info 
len must 	xiecc see 
greater zero non 	weather android 
zero matched 	content 
wildcard part considered 	context android 
function early 	content info 
longer non wildcard 	android 
part match 	content manager 
early shorter non 	android net 
wildcard part 	connectivity 
match note 	manager android 
ends sure really 	net network 
matches directory 	info 
could entry non 	xiecc see 
wildcard part 	weather 
similar never interesting 	android content 
optimization match 	context android 
entry happy comparison 	content 
entry interesting 	info android 
given pathspec pre 	content manager 
condition either 	android 
baselen offset empty 	net connectivity 
path baselen 	manager android 
trailing slash doesn 	net 
match move 	network info 
along either must 	xiecc see 
must match 	weather 
match directories match 	android content 
files later 	context 
concatenate entry 	android content 
path one fnmatch 	info android 
could avoid 	content 
concatenation certain cases 	manager android 
saves memcpy 	net connectivity 
potentially realloc turns 	manager 
worth measurement 	android net 
linux show clear 	network info 
improvements partly 	xiecc 
nowildcard len optimization 	see weather 
git fnmatch 	android content 
avoid micro optimizations 	context 
match wildcard 	android content 
says directory already 	info 
matched need 	android content 
match rest shorter 	manager android 
theory faster 	net 
match directories match 	connectivity manager 
files later 	android net 
max depth 	network 
ignored may consider 	info xiecc 
support future 	see weather 
see http gmane 	android 
gmane comp 	content context 
version control git 	android 
focus matches 	content info 
entry interesting given 	android content 
pathspec pre 	manager 
condition either baselen 	android net 
offset empty 	connectivity manager 
path baselen trailing 	android 
slash entry 	net network 
positive negative result 	info xiecc 
file file 	see 
file file file 	weather android 
file file 	content context 
file file file 	android 
dir dir 	content info 
dir dir 	android 
dir dir dir 	content manager 
dir dir 	android net 
dir exclude pattern 	connectivity 
interested directory 	manager android 
necessarily mean exclude 	net network 
directory wildcard 	info 
decide looking individual 	xiecc see 
files inside 	weather android 
write directories yet 	content 
tree-walk.h sha 	context android 
path mode buffer 	content info 
entry size 	android 
desc pathp modep 	content manager 
desc desc 	android 
buf size desc 	net connectivity 
name entry 	manager android 
desc sha info 	net 
traverse path 	network info 
prev name 	xiecc see 
pathlen pathspec conflicts 	weather 
data show 	android content 
errors path info 	context android 
info info 	content 
entry len helper 	info android 
function entry 	content manager 
extract update entry 	android 
returns success 	net connectivity 
includes links initial 	manager 
symlink missing 	android net 
initial symlink transitively 	network info 
points missing 	xiecc 
file somewhere along 	see weather 
symlink chain 	android content 
path requested contains 	context 
file non 	android content 
element general 	info android 
positive means kind 	content 
interesting subsequent 	manager android 
entries either yes 	net connectivity 
subsequent entries 	manager 
tree.c type sha 	android net 
baselen pathname 	network 
mode stage opt 	info xiecc 
len size 	see weather 
sha pathname mode 	android 
stage context 	content context 
sha pathname mode 	android content 
stage context 	info 
stage pathspec context 	android content 
desc entry 	manager android 
sha len oldlen 	net 
commit baselen 	connectivity manager 
stage pathspec context 	android net 
ret stage 	network 
match err 	info xiecc 
sha obj item 	see 
buffer size 	weather android 
item quiet missing 	content context 
buffer size 	android 
sha obj isdir 	content info 
strlen cache 	android content 
entry size xcalloc 	manager 
create mode 	android net 
create flags memcpy 	connectivity manager 
memcpy hashcpy 	android 
cache entry read 	net network 
one entry 	info xiecc 
opt read one 	see 
entry opt 	weather android 
parse init desc 	content 
entry entry 	context android 
interesting isdir hashcpy 	content info 
isgitlink lookup 	android 
commit die 	content manager 
sha hex parse 	android net 
commit die 	connectivity 
sha hex hashcpy 	manager android 
entry len 	net network 
strbuf strbuf addch 	info 
read lookup 	xiecc see 
strbuf setlen strbuf 	weather android 
read strbuf 	content 
release cache name 	context android 
stage compare 	content 
stage stage stage 	info android 
read recursive 	content manager 
cache free qsort 	android 
lookup create 	net connectivity 
alloc node type 	manager android 
read sha 	net 
file error oid 	network info 
hex free 	xiecc see 
error oid 	weather 
hex parse buffer 	android content 
free parse 	context android 
parse used caller 	content 
knows existing 	info android 
entries stage conflict 	content 
entry added 	manager android 
currently existing callers 	net connectivity 
function call 	manager 
stage making sure 	android net 
nothing stage 	network info 
could always use 	xiecc 
read one 	see weather 
entry quick decide 	android content 
straighten git 	context 
read use unpack 	android content 
trees cases 	info android 
probably start 	content 
matter see cache 	manager android 
entry stage 	net 
original slow way 	connectivity manager 
otherwise append 	android net 
sort end sort 	network 
cache entry 	info xiecc 
need nuke cache 	see weather 
though tree.h 	android 
type buffer size 	content context 
sha item 	android content 
buffer size quiet 	info 
missing sha 	android content 
baselen stage pathspec 	manager android 
context stage 	net 
pathspec parse gently 	connectivity manager 
parses returns 	android 
given ent chasing 	net network 
tags commits 	info xiecc 
unicode widthh 	see 
zero width width 	weather android 
plane plane 	content context 
plane plane plane 	android 
plane plane 	content info 
plane plane plane 	android content 
plane plane 	manager 
plane plane plane 	android net 
plane plane 	connectivity manager 
unistd.h win define 	android 
porting git 	net network 
mode ssize defines 	info 
access access 	xiecc see 
mode doesn define 	weather android 
doesn seem 	content 
hurt check file 	context android 
existence well 	content info 
maybe hurt newer 	android 
versions msvcrt 	content manager 
access mode 	android net 
causes invalid parameter 	connectivity 
error access 	manager android 
doesn check execute 	net network 
permission check 	info 
write permission check 	xiecc see 
read permission 	weather 
fifo character block 	android content 
ever directory 	context android 
regular file type 	content 
mask unix-socket.c 	info android 
orig len path 	content manager 
orig dir 	android 
ctx path ctx 	net connectivity 
size slash 	manager android 
dir cwd path 	net 
saved errno 	network info 
ctx path saved 	xiecc see 
errno ctx 	weather 
socket die 	android content 
errno xmemdupz chdir 	context 
free chdir 	android content 
die free strlen 	info android 
find last 	content 
dir sep strlen 	manager android 
strbuf getcwd 	net connectivity 
strbuf detach chdir 	manager 
len memset 	android net 
memcpy unix sockaddr 	network info 
init unix 	xiecc 
stream socket connect 	see weather 
unix sockaddr 	android content 
cleanup unix sockaddr 	context 
cleanup close 	android content 
unlink unix sockaddr 	info 
init unix 	android content 
stream socket bind 	manager android 
listen unix 	net 
sockaddr cleanup 	connectivity manager 
unix sockaddr cleanup 	android net 
close fail 	network 
error since moved 	info xiecc 
cwd whole 	see weather 
process could confuse 	android 
calling code 	content context 
better die unix-socket.h 	android content 
path path 	info 
unix socket unpack-file.c 	android content 
sha path 	manager 
buf size argc 	android net 
argv prefix 	connectivity manager 
sha read sha 	android 
file die 	net network 
sha hex xsnprintf 	info xiecc 
xmkstemp write 	see 
full die 	weather android 
errno close strcmp 	content context 
usage sha 	android 
die git config 	content info 
puts create 	android content 
temp file unpack-objects.c 	manager 
dry run 	android net 
quiet recover errors 	connectivity 
strict unpack 	manager android 
usage buffer offset 	net network 
len consumed 	info 
bytes ctx fsck 	xiecc see 
options buffer 	weather android 
size obj decorate 	content 
buffer size 	context android 
obj min ret 	content info 
bytes size 	android 
stream buf ret 	content manager 
sha offset 	android net 
size delta 	connectivity 
next delta list 	manager android 
sha offset 	net 
delta size info 	network info 
offset sha 	xiecc see 
obj obj list 	weather 
objects obj 	android content 
obj buf sha 	context android 
obj type 	content 
data options obj 	info android 
buf size 	content manager 
type added write 	android 
resolve delta 	net connectivity 
added unpack non 	manager android 
delta entry 	net 
delta data delta 	network info 
size obj 	xiecc 
obj buffer unpack 	see weather 
delta entry 	android content 
shift pack 	context 
size progress hdr 	android content 
argc argv 	info android 
prefix sha arg 	content 
hdr ret 	manager android 
lookup decoration xcalloc 	net connectivity 
decoration die 	manager 
oid hex die 	android net 
git sha 	network info 
update memmove xread 	xiecc 
die die 	see weather 
errno die overflows 	android 
die xmallocz 	content context 
memset fill git 	android content 
inflate init 	info 
git inflate use 	android content 
error free 	manager android 
exit fill git 	net 
inflate end 	connectivity manager 
xmalloc hashcpy 	android net 
write sha file 	network 
die oid 	info xiecc 
hex die sha 	see weather 
info die 	android 
lookup buffer die 	content context 
oid hex 	android 
fsck die fsck 	content info 
walk die 	android content 
oid hex write 	manager 
cached check 	android net 
lookup lookup buffer 	connectivity manager 
resolve delta 	android 
fill use fill 	net network 
use unpack 	info xiecc 
non delta entry 	see 
unpack delta 	weather android 
entry error 	content context 
exit fill ntohl 	android 
ntohl die 	content info 
pack version die 	android 
ntohl use 	content manager 
start progress xcalloc 	android net 
unpack one 	connectivity 
display progress stop 	manager android 
progress die 	net network 
git config isatty 	info 
strcmp strcmp 	xiecc see 
strcmp strcmp skip 	weather manager 
prefix fsck 	info 
msg types starts 	name print 
htonl htonl 	stack 
strtoul die htonl 	trace manager 
strtoul die 	info name 
usage usage git 	print 
sha init 	stack trace 
unpack git 	system service 
sha update git 	active 
sha write 	network info 
rest hashcmp fill 	available created 
die use 	hugo 
xwrite always read 	param context 
chunks running 	param context 
strict mode objects 	VersionAPI.java 
whose reachability 	name version 
suspect kept core 	changelog 
without getting 	updated version 
written store make 	build install 
sure least 	url 
min bytes available 	direct install 
buffer pointer 	url update 
buffer make sure 	url 
sufficiently large 	binary fsize 
wrap called check 	serialized name 
verified end 	google 
processing write 	gson annotations 
rest scans objects 	serialized name 
reachability requirements 	google 
calls function verify 	gson annotations 
reachability validity 	serialized 
recursively write write 	name google 
list know 	gson annotations 
contents strict buffers 	serialized 
structured objects 	name google 
core end know 	gson annotations 
contents pack 	serialized 
resolve deltified objects 	name google 
one done 	gson annotations 
cannot resolve yet 	serialized 
queue delta 	name google 
delta resolved yet 	gson annotations 
take non 	serialized 
flag arguments maybe 	name created 
day write 	administrator 
last part 	fsize Weather.java 
buffer stdout done 	aqi basic 
unpack-trees.c unpack 	status 
plumbing errors opts 	suggestion daily 
cmd msgs 	forecast hourly 
msg cmd clear 	forecast 
size clear 	city aqi 
rejected path something 	qlty city 
displayed rejects 	cnty 
path state total 	lat lon 
progress index 	update loc 
errs verify absent 	utc 
sparse istate 	cond hum 
skip worktree src 	pcpn 
ret bottom 	pres tmp 
index index len 	vis wind 
pos index 	code 
len pos 	txt deg 
next index pos 	dir spd 
index len 	comf 
pos next src 	drsg flu 
ret traverse 	sport trav 
info name entry 	brf 
info bottom 	txt brf 
info ret pos 	txt brf 
dirmask conflicts 	txt 
names info ret 	brf txt 
bottom buf 	brf 
newinfo sha info 	txt brf 
len pathlen 	txt brf 
len name cmp 	txt 
info len 	astro cond 
pathlen len name 	date hum 
cmp info 	pcpn 
cmp info info 	pop pres 
stage len 	tmp vis 
mask dirmask 	wind 
src names info 	code code 
conflicts stage 	txt txt 
bit message info 	max 
pos index 	min deg 
pfxlen len name 	dir 
slash cmp 	spd date 
len info pos 	hum pop 
info mask 	pres 
dirmask names info 	tmp wind 
mask dirmask 	deg dir 
names info src 	spd 
cmp matches 	serialized name 
cache prefix mask 	serializable list 
clear mask 	google 
defval cache prefix 	gson annotations 
basename mask 	serialized name 
clear mask defval 	serializable 
cache end 	list google 
dtype ret 	gson 
cache prefix mask 	annotations serialized 
clear mask 	name serializable 
defval cache end 	list 
name slash 	google gson 
len dtype ret 	annotations serialized 
processed cache 	name 
mask clear mask 	serializable list 
prefix index 	google gson 
flag skip flag 	annotations 
verify absent 	serialized name 
len ret dfc 	serializable list 
sparse prefix 	google 
info empty worktree 	gson annotations 
verify uptodate 	serialized 
verify clean submodule 	name serializable 
verify clean 	list google 
subdirectory name len 	gson 
src check 	annotations serialized 
verify absent 	name serializable 
verify absent verify 	list 
absent sparse 	google gson 
old update merge 	annotations serialized 
old label 	name 
stages index head 	serializable list 
remote count 	google gson 
head match remote 	annotations 
match conflict 	serialized name 
head conflict remote 	serializable 
anc missing 	list google 
anc exists head 	gson annotations 
deleted remote 	serialized 
deleted src current 	name serializable 
oldtree newtree 	list google 
src old src 	gson 
old update 	annotations serialized 
strcmp xstrfmt xstrfmt 	name serializable 
xstrfmt size 	list 
index entry 	google gson 
size xmalloc memcpy 	annotations serialized 
entry dup 	name 
entry strbuf addf 	serializable list 
error errormsg 	google 
strbuf release list 	gson annotations 
clear check 	serialized name 
leading path namelen 	serializable 
warn schedule 	list google 
dir removal namelen 	gson annotations 
start progress 	serialized 
delay git attr 	name serializable 
direction display 	list google 
progress unlink entry 	gson 
marked cache 	annotations serialized 
entries scheduled dirs 	name serializable 
die display 	list 
progress checkout 	google gson 
entry stop progress 	annotations 
git attr 	serialized name 
direction skip worktree 	serializable list 
skip worktree 	google 
skip worktree skip 	gson annotations 
worktree verify 	serialized name 
uptodate sparse skip 	serializable 
worktree verify 	list google 
absent sparse namelen 	gson annotations 
index name 	serialized 
pos namelen locate 	name serializable 
src index 	list google 
namelen memcmp mark 	gson 
used namelen 	annotations serialized 
index name pos 	name 
die namelen 	serializable list 
memcmp entry mark 	city aqi 
used mark 	qlty 
used stage 	city cnty 
entry call unpack 	lat lon 
stage mark 	update 
used name find 	loc utc 
cache pos 	cond code 
entry len fill 	txt 
descriptor cache 	hum pcpn 
bottom traverse trees 	pres tmp 
restore cache 	vis 
bottom free compare 	wind deg 
entry piecewise 	dir 
namelen entry len 	spd aqi 
name compare 	city aqi 
compare entry piecewise 	qlty 
strncmp namelen 	basic city 
entry len name 	cnty lat 
compare compare 	lon 
entry namelen traverse 	update loc 
path len 	utc daily 
compare entry 	forecast 
namelen traverse path 	astro cond 
len xcalloc 	code code 
cache entry size 	txt 
create mode 	txt date 
create flags hashcpy 	hum 
make traverse 	pcpn pop 
path create entry 	pres tmp 
call unpack 	max 
free entry discard 	min vis 
index error 	wind deg 
entry len traverse 	dir 
path strncmp 	spd astro 
strchr namelen name 	cond code 
compare memcmp 	code 
find cache pos 	txt txt 
debug path 	date hum 
putchar debug path 	pcpn 
putchar debug 	pop pres 
name entry 	tmp 
debug unpack callback 	max min 
next cache 	vis wind 
entry find cache 	deg 
entry compare 	dir spd 
entry unpack index 	astro cond 
entry unpack 	code 
failed stage unmerged 	code txt 
unpack nondirectories 	txt date 
stage mark used 	hum 
name mark 	pcpn pop 
used isdir cache 	pres tmp 
matches traversal 	max 
traverse trees recursive 	min vis 
excluded list 	wind 
strbuf addch strncmp 	deg dir 
clear flags 	spd astro 
strbuf setlen 	cond 
strncmp strchr strbuf 	code code 
clear flags 	txt txt 
dir strbuf setlen 	date 
strbuf addch 	hum pcpn 
clear flags strbuf 	pop pres 
setlen dtype 	tmp 
excluded list namelen 	max min 
strbuf reset 	vis wind 
clear flags stage 	deg 
clear flags 	dir spd 
die memset memset 	astro 
git pathdup 	cond code 
excludes file list 	code txt 
free memset 	txt 
hashcpy mark unused 	date hum 
mark skip 	pcpn pop 
worktree xcalloc cache 	pres 
entry size 	tmp max 
setup traverse 	min vis 
info next cache 	wind 
entry traverse 	deg dir 
path unpack index 	spd astro 
entry traverse 	cond 
trees next cache 	code code 
entry unpack 	txt 
index entry mark 	txt date 
unused unpack 	hum pcpn 
failed mark skip 	pop 
worktree verify 	pres tmp 
absent apply sparse 	max min 
checkout skip 	vis 
worktree unpack failed 	wind deg 
check updates 	dir spd 
cache cache fully 	astro 
valid cache 	cond code 
update discard index 	code txt 
discard index 	txt 
clear exclude 	date hum 
list display error 	pcpn 
msgs mark 	pop pres 
unused unpack failed 	tmp max 
rejected path 	min 
hashcmp verify uptodate 	vis wind 
verify uptodate 	deg dir 
cache invalidate path 	spd 
untracked cache 	hourly forecast 
invalidate path index 	date hum 
file exists 	pop 
match stat dup 	pres tmp 
entry verify 	wind deg 
absent free invalidate 	dir 
path copy 	spd cond 
cache entry verify 	code 
uptodate free 	txt hum 
invalidate path invalidate 	pcpn pres 
path entry 	tmp 
verify absent 	vis wind 
verify uptodate entry 	deg dir 
invalidate path 	spd 
entry sha hex 	status suggestion 
stage reject 	comf brf 
merge merged entry 	txt 
reject merge 	brf txt 
merged entry merged 	drsg brf 
entry deleted 	txt 
entry verify absent 	flu brf 
merged entry 	txt 
verify uptodate keep 	sport brf 
entry show 	txt trav 
stage entry show 	brf 
stage entry 	txt brf 
keep entry keep 	txt comf 
entry error 	brf 
deleted entry 	txt brf 
merged entry reject 	txt drsg 
merge keep 	brf 
entry deleted entry 	txt flu 
merged entry 	brf txt 
reject merge reject 	sport 
merge merged 	brf txt 
entry deleted entry 	trav 
error error 	brf txt 
errormsg keep entry 	brf txt 
merged entry 	astro 
error deleted entry 	cond code 
uptodate skip 	code txt 
worktree lstat match 	txt 
stat entry 	date hum 
merged entry error 	pcpn pop 
messages expected 	pres 
scripts plumbing commands 	tmp max 
read non 	min 
scripted porcelain 	vis wind 
required use messages 	deg dir 
fact encouraged 	spd 
reword better suit 	date hum 
particular situation 	pop pres 
better see git 	tmp 
checkout git 	wind deg 
merge replaces setup 	dir spd 
unpack trees 	aqi 
porcelain example error 	qlty loc 
would overwrite 	utc code 
error uptodate file 	txt 
error uptodate 	deg dir 
dir error would 	spd 
lose untracked 	brf txt 
overwritten error would 	brf txt 
lose untracked 	brf 
removed error bind 	txt brf 
overlap error 	txt brf 
sparse uptodate 	txt 
file error would 	brf txt 
lose orphaned 	brf txt 
overwritten error would 	code 
lose orphaned 	code txt 
removed special error 	txt max 
bind overlap 	min 
refers pair paths 	deg dir 
cannot easily 	spd 
display list rejected 	deg dir 
paths may 	spd WeatherAdapter.java 
buffer error messages 	tag 
path path 	context type 
corresponding type message 	one type 
msg indicating 	two 
display porcelain otherwise 	type three 
insert list 	type fore 
future display display 	weather 
error msgs 	data setting 
display error 	context weather 
messages stored nice 	data 
way unlink 	position parent 
last component schedule 	view 
leading directories 	type holder 
removal empty directories 	position date 
removed skip 	time 
worktree skip worktree 	format day 
perfectly normal 	week week 
move merge strategies 	card 
may update 	view weather 
outside checkout area 	icon temp 
result skip 	flu 
worktree shortcuts verify 	temp max 
absent verify 	temp min 
uptodate make sure 	temp 
modify worktree 	temp quality 
already outside checkout 	item 
area also 	view item 
file removed 	hour info 
index worktree file 	linearlayout 
already outside 	clock temp 
worktree area bother 	humidity wind 
update verify 	item 
uptodate must called 	view view 
already also 	card view 
stat info may 	cloth 
lost merged 	brief cloth 
entry calling verify 	txt sport 
uptodate may 	brief 
fail call unpack 	sport txt 
index entry 	travel 
unmerged cache entry 	brief travel 
diff index 	txt flu 
wants single callback 	brief 
skip unmerged 	flu txt 
entry name 	item view 
compare traverse path 	forecast 
cache entry 	linear forecast 
without actually generate 	date forecast 
textual representation 	temp 
traverse path note 	forecast txt 
compares size 	forecast icon 
traverse path caller 	item 
needs check 	view view 
cache entry data 	context 
end len 	snackbar card 
pathlen must previously 	view recycler 
hit name 	view 
directory entry precomputed 	layout inflater 
traverse path 	view view 
quicker avoid precomputed 	image 
quicker use 	view linear 
precomputed version even 	layout text 
beginning compared 	view 
identically compare 	glide disk 
bigger directory leading 	cache strategy 
blob name 	log 
path won inside 	setting weather 
directories nothing 	simple 
filled potential index 	date format 
entry src 	calendar android 
rest traversal looking 	content 
name matching 	context android 
entry name directory 	support design 
index anything 	widget 
want match traversal 	snackbar android 
descends directory 	support widget 
cache bottom entry 	card 
already unpacked 	view android 
never match check 	support widget 
check skip 	recycler 
future cache checks 	view android 
already past 	view 
possible entries 	layout inflater 
traverse path exact 	android view 
match directory 	view 
need delay returning 	android view 
keep looking 	view android 
name sorts path 	widget 
could files 	image view 
path directory index 	android widget 
name path 	linear 
may index keep 	layout android 
looking find 	widget text 
first entry real 	view 
name could 	bumptech glide 
use mask supposed 	glide 
look index 	bumptech glide 
skip unmerged index 	load engine 
entries skip 	disk 
entry entries associated 	cache strategy 
handle directories 	xiecc see 
special diff 	weather 
