adlist.c list 	abspath.c path 
ready keys 	old content 
safely 	old data decide 
call signal 	mode adjust 
list ready 	mode reflect properties 
key key 	save result 
exists list 	directories tracked fast 
serve blocked 	export functions 
clients 	means empty revision 
data serve 	gets git 
clients order 	commit strlen key 
blocked key 	svndump.h filename 
first blocked 	back url local 
last protect 	notes symbolic-ref.c 
receiver 	git symbolic 
bpop target 	usage head quiet 
freed next 	shorten print 
unblock client 	sha flag refname 
call failed 	argc argv 
serving client 	prefix ret msg 
need 	options resolve 
also undo 	die die shorten 
pop operation 	unambiguous puts 
call signal 	git config parse 
modified key 	options die 
already called 	usage options check 
element 	symref die 
pushed list 	check symref strcmp 
free item 	starts die 
list place 	create symref usage 
point blocking 	options symlinks.c 
rpop lpop 	cache name 
non 	len cache name 
empty list 	len prefix 
like non 	len name len 
normal pop 	name len 
replicate pop 	previous slash max 
instead pop 	len cache 
inside 	cache cache name 
multi exec 	len ret 
list empty 	flags track flags 
thing treating 	prefix len 
timeout even 	stat func match 
timeout list 	len last 
empty 	slash last slash 
key exists 	dir previous 
must block 	slash save flags 
blocking empty 	ret cache 
list multi 	name len track 
state returns 	flags prefix 
immediately 	len stat 
list empty 	func flags cache 
client blocks 	name len 
list exists 	name len name 
elements regular 	len cache 
rpoplpush command 	name len flags 
executed 	match len 
t setc 	name len prefix 
setkeys setnum 	len cache 
dstkey subject 	name len prefix 
llval success 	len removal 
setobj llval 	len name len 
success 	match len 
subject llval 	last slash previous 
subject objele 	slash strbuf 
llele intele 	reset reset lstat 
objele encoding 	cache longest 
setobj objele 	path match strbuf 
llele 	grow stat 
subject setobj 	lstat isdir 
enc intele 	islnk reset lstat 
element added 	cache lstat 
keyremoved srcset 	cache matchlen lstat 
dstset ele 	cache threaded 
count 	symlink leading path 
size propargv 	threaded check 
objele encoding 	leading path lstat 
llele remaining 	cache matchlen 
newset ele 	threaded dirs path 
aux llele 	lstat cache 
encoding 	rmdir longest path 
count size 	match scheduled 
uniq ele 	dirs strbuf scheduled 
llele encoding 	dirs returns 
retval added 	length path component 
ele llele 	basis longest 
encoding 	common prefix match 
setkeys setnum 	name name 
dstkey sets 	name substring 
eleobj dstset 	name way around 
intobj replylen 	name name 
cardinality encoding 	exact track flags 
setobj 	prefix len 
deleted setkeys 	stat func members 
setnum dstkey 	safeguard rule 
sets ele 	inside lstat cache 
dstset cardinality 	check name 
diff algo 	name length len 
setobj 	symlink leading 
algo two 	component directory exists 
work deleted 	real speed 
cursor representable 	check information allowed 
create intset 	cached indicated 
create dict 	track flags argument 
incr 	also used 
count representable 	indicate check full 
intset intset 	path prefix 
len type 	len stat 
convert type 	func parameter used 
convert server 	length prefix 
info 	cache use stat 
dict incr 	function instead 
count server 	lstat function test 
panic dict 	path component 
needs resize 	safeguard rule clear 
dict resize 	cache values 
representable 	track flags prefix 
intset server 	len stat 
panic dict 	func match last 
find representable 	supplied values 
intset find 	check see match 
server panic 	cache excluding 
zmalloc 	path types match 
dict iterator 	len would 
server panic 	know matched 
dict release 	part always directory 
iterator zfree 	also tracking 
dict next 	directories name substring 
dict 	cache path 
key intset 	component basis immediately 
server panic 	okay match 
type next 	cache far check 
create incr 	rest path 
count server 	components end update 
panic 	cache note 
dict random 	max different path 
key dict 	types noent 
key intset 	symlink dir cached 
random server 	moment separate 
panic dict 	test directory since 
size 	could found 
intset len 	symlink non existing 
server panic 	directory track 
server info 	flags says 
dict create 	cannot cache fact 
dict expand 	cache would 
intset 	left empty allowed 
len type 	track real 
init iterator 	directories still cache 
type next 	path components 
create server 	last one found 
info dict 	symlink non 
type 	existing component non 
release iterator 	zero path 
zfree server 	name leading symlink 
panic lookup 	component non 
key write 	zero path name 
type create 	leading symlink 
reply 	component zero path 
encoding type 	name leading 
signal modified 	symlink component leading 
key notify 	path component 
keyspace reply 	exists leading 
lookup key 	path exists directory 
write 	path length 
reply check 	leading path exists 
type type 	neither directory 
type size 	symlink zero path 
signal modified 	name leading 
key notify 	symlink component leading 
keyspace 	path component 
notify keyspace 	exists leading path 
reply lookup 	exists directory 
key write 	path length leading 
lookup key 	path exists 
write encoding 	neither directory symlink 
reply 	non zero 
check type 	path components name 
check type 	exists directory 
reply type 	prefix len test 
member type 	stat function 
reply notify 	instead lstat 
keyspace 	function prefix length 
type size 	prefix len 
notify keyspace 	thus allow symlinks 
signal modified 	prefix part 
key signal 	points real existing 
modified key 	directories non 
type 	zero path components 
create type 	name exists 
notify keyspace 	directory prefix len 
reply lookup 	test stat 
key read 	function instead lstat 
reply check 	function prefix 
type 	length prefix len 
encoding type 	thus allow 
member reply 	symlinks prefix part 
reply lookup 	points real 
key read 	existing directories 
reply check 	find last slash 
type 	inside name 
reply type 	directory check must 
size reply 	first upwards 
reply lookup 	possible empty directories 
key read 	upwards deeper 
reply check 	directory need save 
type 	path components 
reply type 	syslog.c eventlog ident 
size notify 	logopt facility 
keyspace sunion 	priority fmt logtype 
diff command 	str pos 
notify keyspace 	str len source 
rewrite 	warning last 
client command 	error start vsnprintf 
vector signal 	end warning 
modified key 	strerror malloc warning 
create reply 	strerror start 
multi bulk 	vsnprintf end 
len 	strstr realloc warning 
type random 	strerror memmove 
element create 	strlen report free 
incr count 	syslog.h ident 
reply bulk 	logopt facility priority 
type also 	fmt syslog 
propagate 	tag.c tag type 
decr count 	warn warnlen 
type random 	sha obj buf 
element create 	tail dateptr 
incr count 	item data size 
type create 	sha type 
type 	bufptr tail item 
type decr 	data size 
count incr 	ret parse strlen 
count overwrite 	error parse 
type init 	lookup create alloc 
iterator type 	tag node 
next 	type strtoul 
create incr 	memcmp sha hex 
count reply 	starts memchr 
bulk also 	memcpy strcmp lookup 
propagate decr 	blob strcmp 
count type 	lookup strcmp lookup 
release 	commit strcmp 
iterator decr 	lookup tag error 
count decr 	starts memchr 
count prevent 	xmemdupz starts parse 
command propagation 	tag date 
spop count 	read sha file 
command 	error oid 
reply lookup 	hex free error 
key write 	oid hex 
reply check 	parse tag buffer 
type type 	free nada 
random element 	nada dateptr buf 
create 	buf strtoul 
intset incr 	stop buf 
count type 	sha good builtin 
notify keyspace 	git tag 
create rewrite 	copyright kristian gsberg 
client command 	krh redhat 
vector 	carlos rica jasampler 
decr count 	gmail git 
decr count 	tag mktag linus 
reply bulk 	torvalds parse 
type size 	arg given sorting 
notify keyspace 	skip header 
signal 	skip write message 
modified key 	editing git 
reply lookup 	tag usage colopts 
key read 	filter sorting 
reply check 	format free argv 
type type 	error sha 
size 	name sha 
reply reply 	name sha argv 
multi bulk 	verify tag 
len type 	buffer tag tag 
random element 	nocleanup arg 
reply bulk 	sorting tail len 
reply 	status sorting 
bulk sunion 	tail sha size 
diff command 	buf buf 
dict create 	sign result sign 
type init 	tag buf 
iterator type 	opt prev result 
next 	header buf 
dict create 	header len path 
dict dup 	buf given 
server type 	buf opt arg 
release iterator 	unset msg 
server 	name argc argv 
dict size 	prefix buf 
dict random 	prev tag 
key dict 	opt cleanup arg 
dict key 	create reflog 
type random 	force cmdmode keyid 
element 	msg transaction 
create dup 	err filter sorting 
dict decr 	tail format 
count reply 	options ret copts 
multi bulk 	memset xstrfmt 
len dict 	verify format filter 
iterator 	refs sort 
dict next 	show item clear 
reply bulk 	free snprintf 
dict key 	error read error 
dict release 	find unique 
iterator dict 	abbrev sha hex 
release 	run command 
srandmember count 	opt error sign 
command reply 	buffer signing 
lookup key 	key xcalloc 
read reply 	skip prefix skip 
check type 	prefix strlen 
type 	parse filter atom 
random element 	strcmp config 
reply bulk 	error nonbool parse 
reply bulk 	sorting git 
type size 	gpg config starts 
type size 	git column 
type 	config git config 
size type 	read sha 
size zmalloc 	file strstr free 
lookup key 	write die 
write lookup 	parse signature free 
key read 	sign error 
zfree 	write sha file 
signal modified 	error sha 
key reply 	info die snprintf 
reply check 	sha hex 
type zfree 	git committer 
qsort deferred 	info die git 
multi 	pathdup open 
bulk length 	die errno sha 
create intset 	write tag 
type init 	body strbuf addch 
iterator type 	strbuf commented 
next intset 	addf strbuf commented 
find 	addf write 
create type 	die strbuf release 
member decr 	close launch 
count decr 	editor exit strbuf 
count intset 	stripspace die 
find type 	strbuf insert build 
member 	tag exit 
reply bulk 	unlink warn free 
reply bulk 	strbuf addstr 
create type 	strbuf addstr strbuf 
decr count 	reset strbuf 
type type 	addf check 
release 	refname format git 
iterator type 	config memset 
size reply 	memset parse options 
type size 	signing key 
notify keyspace 	usage options finalize 
decr count 	colopts explicitly 
reply 	enable column die 
notify keyspace 	sorting column 
signal modified 	active memset run 
key deferred 	column filter 
multi bulk 	list tags column 
length zfree 	active stop 
sinter 	column filter die 
command sinter 	die die 
command zmalloc 	die tag name 
lookup key 	tag name 
write lookup 	die strbuf 
key read 	addbuf strcmp strbuf 
check 	read die 
type zfree 	errno strbuf read 
type size 	file die 
type size 	errno die sha 
qsort create 	die strbuf 
intset type 	check tag die 
init 	read hashclr 
iterator type 	die strcmp strcmp 
next type 	strcmp die 
decr count 	create tag transaction 
type release 	begin transaction 
iterator type 	update transaction commit 
init 	die transaction 
iterator type 	free sha hashcmp 
next type 	find unique 
member type 	abbrev strbuf release 
decr count 	strbuf release 
type release 	strbuf release 
iterator 	nada nada dateptr 
type init 	buf buf 
iterator type 	strtoul stop buf 
next type 	sha good 
type decr 	builtin git tag 
count type 	copyright kristian 
release 	gsberg krh redhat 
iterator reply 	carlos rica 
multi bulk 	jasampler gmail git 
len type 	tag mktag 
init iterator 	linus torvalds parse 
type next 	arg given 
reply 	sorting skip header 
bulk decr 	skip write 
count type 	message editing tag.c 
release iterator 	tag type 
decr count 	warn warnlen sha 
type size 	obj buf 
reply 	tail dateptr 
type size 	item data size 
notify keyspace 	sha type 
decr count 	bufptr tail item 
reply notify 	data size 
keyspace signal 	ret parse strlen 
modified 	error parse 
key zfree 	lookup create alloc 
sunion diff 	tag node 
command sunion 	type strtoul memcmp 
diff command 	sha hex 
sunion diff 	starts memchr memcpy 
command 	strcmp lookup 
sunion diff 	blob strcmp lookup 
command parse 	strcmp lookup 
scan cursor 	commit strcmp lookup 
reply lookup 	tag error 
key read 	starts memchr xmemdupz 
reply 	starts parse 
check type 	tag date 
scan command 	read sha file 
copyright salvatore 	error oid 
sanfilippo antirez 	hex free error 
gmail dot 	oid hex 
rights 	parse tag buffer 
reserved redistribution 	free nada 
use source 	nada dateptr buf 
binary forms 	buf strtoul 
without modification 	stop buf sha 
permitted provided 	good builtin 
following 	git tag copyright 
conditions met 	kristian gsberg 
redistributions source 	krh redhat carlos 
code must 	rica jasampler 
retain copyright 	gmail git tag 
notice list 	mktag linus 
conditions 	torvalds parse 
following disclaimer 	arg given sorting 
redistributions binary 	skip header 
form must 	skip write message 
reproduce copyright 	editing git 
notice list 	tag usage colopts 
conditions 	filter sorting 
following disclaimer 	format free argv 
documentation materials 	error sha 
provided distribution 	name sha name 
neither name 	sha argv 
redis names 	verify tag buffer 
contributors 	tag tag 
may used 	nocleanup arg sorting 
endorse promote 	tail len 
products derived 	status sorting tail 
software without 	sha size 
specific prior 	buf buf sign 
written 	result sign 
permission software 	tag buf 
provided copyright 	opt prev result 
holders contributors 	header buf 
express implied 	header len path 
warranties including 	buf given 
limited 	buf opt arg 
implied warranties 	unset msg 
merchantability fitness 	name argc argv 
particular purpose 	prefix buf 
disclaimed shall 	prev tag opt 
copyright owner 	cleanup arg 
contributors 	create reflog force 
liable direct 	cmdmode keyid 
indirect incidental 	msg transaction err 
special exemplary 	filter sorting 
consequential damages 	tail format options 
including limited 	ret copts 
procurement 	memset xstrfmt verify 
substitute goods 	format filter 
services loss 	refs sort 
use data 	show item clear 
profits business 	free snprintf 
interruption however 	error read error 
caused 	find unique 
theory liability 	abbrev sha hex 
whether contract 	run command 
strict liability 	opt error sign 
tort including 	buffer signing 
negligence otherwise 	key xcalloc skip 
arising 	prefix skip 
way use 	prefix strlen parse 
software even 	filter atom 
advised possibility 	strcmp config error 
damage commands 	nonbool parse 
factory method 	sorting git gpg 
hold 	config starts 
integer encodable 	git column config 
intset returned 	git config 
otherwise regular 	read sha 
hash table 	file strstr free 
specified function 	write die 
takes 	parse signature free 
care incrementing 	sign error 
reference count 	write sha file 
needed order 	error sha 
retain copy 	info die snprintf 
already member 	sha hex 
nothing 	git committer info 
done returned 	die git 
otherwise element 	pathdup open die 
added returned 	errno sha 
convert regular 	write tag body 
intset contains 	strbuf addch 
many 	strbuf commented addf 
entries failed 	strbuf commented 
integer convert 	addf write 
regular intset 	die strbuf release 
integer encodable 	close launch 
dict always 	editor exit strbuf 
work 	stripspace die 
move next 	strbuf insert build 
entry returns 	tag exit 
current position 	unlink warn free 
since elements 	strbuf addstr 
internally stored 	strbuf addstr strbuf 
redis 	reset strbuf 
objects simple 	addf check refname 
arrays integers 	format git 
type next 	config memset memset 
returns encoding 	parse options 
iterating populate 	signing key usage 
appropriate 	options finalize 
pointer objele 	colopts explicitly enable 
llele accordingly 	column die 
note objele 	sorting column 
llele pointers 	active memset run 
passed cannot 	column filter 
since 	list tags column 
function defensively 	active stop 
populate non 	column filter die 
used field 	die die 
values easy 	die tag name 
trap misused 	tag name 
longer 	die strbuf addbuf 
elements returned 	strcmp strbuf 
returned objects 	read die errno 
count incremented 	strbuf read 
function copy 	file die errno 
write friendly 	die sha 
needed 	die strbuf check 
defensive needed 	tag die 
defensive copy 	read hashclr die 
write friendly 	strcmp strcmp 
version easy 	strcmp die 
use version 	create tag transaction 
type 	begin transaction 
next type 	update transaction commit 
next returning 	die transaction 
objects incrementing 	free sha hashcmp 
count returned 	find unique 
objects retain 	abbrev strbuf release 
pointer 	strbuf release 
call decr 	strbuf release nada 
count function 	nada dateptr 
way write 	buf buf strtoul 
operations cow 	stop buf 
issue result 	sha good builtin 
anyway 	git tag 
incrementing count 	copyright kristian gsberg 
suppress warnings 	krh redhat 
random element 	carlos rica jasampler 
non empty 	gmail git 
returned element 	tag mktag 
encoded 	linus torvalds parse 
intset blob 	arg given 
integers redis 	sorting skip header 
regular caller 	skip write 
provides pointers 	message editing tag.h 
populated right 	tag type 
function 	tagged tag date 
encoding field 	sha item 
used caller 	data size item 
check pointer 	tag tar.h 
redis pointer 	name mode uid 
populated note 	gid size 
objele 	mtime chksum typeflag 
llele pointers 	linkname magic 
passed cannot 	version uname gname 
since function 	devmajor devminor 
defensively populate 	prefix tempfile.c tempfile 
non used 	list skip 
field 	fclose signo 
values easy 	tempfile tempfile path 
trap misused 	save errno 
returned real 	tempfile path tempfile 
count incremented 	suffixlen mode 
function considered 	tempfile suffixlen mode 
copy 	tmpdir tempfile 
write friendly 	mode full tempfile 
needed defensive 	mode tempfile 
needed defensive 	tempfile tempfile tempfile 
convert specified 	err save 
encoding resulting 	errno tempfile tempfile 
dict 	path save 
converting hash 	errno tempfile getpid 
table presized 	tempfile tempfiles 
hold number 	tempfiles sigchain pop 
elements original 	sigchain push 
presize dict 	common atexit 
avoid 	die strbuf init 
rehashing elements 	die prepare 
extract integers 	tempfile strbuf absolute 
create redis 	path open 
objects source 	strbuf reset getpid 
key exist 	adjust shared 
source 	perm error tempfile 
key wrong 	prepare tempfile 
type destination 	strbuf absolute path 
key wrong 	getpid prepare 
type error 	tempfile strbuf absolute 
srcset dstset 	path git 
equal 	mkstemps mode strbuf 
smove element 	reset getpid 
cannot removed 	prepare tempfile getenv 
src src 	strbuf addf 
database empty 	git mkstemps mode 
create destination 	strbuf reset 
doesn 	getpid strbuf 
exist extra 	absolute path mks 
key changed 	tempfile die 
ele successfully 	errno strbuf release 
added dstset 	die die 
handle spop 	fdopen die die 
key 	die ferror 
count variant 	fclose close tempfile 
normal version 	die die 
command handled 	open die close 
spop command 	tempfile rename 
function many 	tempfile strbuf reset 
times 	close tempfile 
bigger compared 	unlink warn strbuf 
remaining size 	reset state 
use create 	diagram cleanup program 
strategy read 	exits temporary 
later implementation 	file active want 
info 	make sure 
count argument 	done remembering 
make sure 	active temporary files 
key name 	linked list 
inputted exists 	tempfile list atexit 
type indeed 	handler signal 
otherwise 	handler registered clean 
nil count 	active temporary 
zero serve 	files signal handler 
empty multibulk 	run time 
asap avoid 	tempfile list tempfile 
special cases 	objects comprise 
later 	must kept self 
generate spop 	consistent states 
keyspace notification 	times possible states 
number requested 	tempfile follows 
elements greater 	uninitialized state list 
equal number 	field must 
elements 	zero rest contents 
inside simply 	need initialized 
whole entire 	soon used 
empty propagate 	way irrevocably registered 
command del 	tempfile list 
operation require 	list active file 
replicate 	open create 
spop serm 	tempfile reopen tempfile 
commands prepare 	state temporary 
replication argument 	file exists active 
vector also 	filename holds 
send length 	filename temporary file 
common 	holds file 
code paths 	descriptor open writing 
common iteration 	holds pointer 
vars elements 	open file fdopen 
left spop 	tempfile called 
number requested 	owner holds pid 
elements 	process created 
less number 	file active 
elements inside 	file closed successful 
also sure 	close tempfile 
count size 	previous state temporary 
use two 	file closed 
different 	inactive tempfile rename 
strategies number 	tempfile failed 
elements small 	attempt create temporary 
compared size 	file failed 
extract random 	close tempfile state 
elements element 	active unset 
client 	filename empty usually 
replicate aof 	though transitory 
command srem 	states condition doesn 
operation number 	hold client 
elements big 	code rely filename 
approaching size 	empty state 
time 	left registered tempfile 
extracting random 	list list 
elements becomes 	temporary file 
computationally expensive 	owned process created 
use different 	tempfile owner 
strategy extract 	field records owner 
random 	pid field 
elements want 	used prevent forked 
elements remain 	process deleting 
part creating 	temporary file created 
stored original 	parent fclose 
elements left 	safe call signal 
original 	handler initialize 
release create 	tempfile necessary tempfile 
remaining elements 	list one 
assign key 	time initialization initialize 
protect old 	tempfile tempfile 
tranfer old 	list shouldn happen 
client 	better safe 
release replicate 	sorry make sure 
aof command 	errno contains 
srem operation 	meaningful error 
propagate command 	note circuiting want 
even 	fclose tempfile.h 
incremented dirty 	next active owner 
counter want 	list filename 
propagate spop 	tempfile path tempfile 
command since 	path tempfile 
propagated command 	suffixlen mode tempfile 
sre 	suffixlen tempfile 
operations also 	mode tempfile tempfile 
propagate api 	suffixlen mode 
make sure 	tempfile suffixlen tempfile 
key name 	mode tempfile 
inputted exists 	tempfile mode tempfile 
type 	tempfile mode 
indeed random 	tempfile tempfile tempfile 
element element 	tempfile tempfile 
replicate aof 	tempfile tempfile tempfile 
command srem 	path handle 
operation element 	temporary files 
reply 	tempfile api allows 
empty modified 	temporary files 
handle srandmember 	created deleted atomically 
key count 	renamed temporary 
variant normal 	files still active 
version command 	program ends 
handled 	cleaned automatically lockfiles 
srandmember command 	see lockfile 
function many 	built top api 
times bigger 	calling sequence 
compared requested 	caller allocates tempfile 
size use 	either variable 
elements 	heap initialized zeros 
strategy read 	use structure 
later implementation 	call create tempfile 
info negative 	belongs tempfile 
count means 	subsystem storage 
elements multiple 	must remain valid 
times 	throughout life 
extracted element 	program cannot use 
every extraction 	stack variable 
count zero 	hold structure attempts 
serve asap 	create temporary 
avoid special 	file calling create 
cases 	tempfile writes 
later count 	content file either 
negative extraction 	writing file 
method random 	descriptor returned create 
elements sampling 	tempfile also 
whole every 	available via tempfile 
time 	calling fdopen 
trivial served 	tempfile file pointer 
without auxiliary 	open file 
data structures 	writing file stdio 
number requested 	finished writing 
elements greater 	caller close 
number 	file descriptor temporary 
elements inside 	file calling 
simply whole 	tempfile close temporary 
need auxiliary 	file rename 
dictionary number 	atomically specified filename 
elements inside 	calling rename 
greater 	tempfile relinquishes control 
srandmember sub 	file close 
strategy mul 	file descriptor without 
times number 	removing renaming 
requested elements 	temporary file calling 
create scratch 	close tempfile 
elements 	later call tempfile 
subtract random 	rename tempfile 
elements reach 	even temporary file 
requested number 	renamed deleted 
elements done 	tempfile must freed 
number requsted 	altered caller 
elements 	however may 
bit less 	reused pass another 
number elements 	call create 
natural approach 	tempfile program exits 
used highly 	rename tempfile 
inefficient elements 	tempfile called atexit 
temporary 	handler close 
dictionary random 	temporary file need 
elements reach 	close file 
right count 	descriptor calling close 
big compared 	tempfile never 
requested number 	call close fclose 
elements 	otherwise tempfile 
simply random 	structure would still 
elements temporary 	think file 
trying eventually 	descriptor needs closed 
enough unique 	later cleanup 
elements reach 	would result duplicate 
specified 	calls close 
count dictionary 	worse yet 
already exists 	close later open 
free otherwise 	another file 
increment number 	descriptor completely different 
objects result 	purpose unrelated 
dictionary 	file descriptor might 
send result 	closed error 
user used 	handling create tempfile 
sdiff receive 	returns file 
handled empty 	descriptor success failure 
sets sort 	errors errno 
sets 	describes reason failure 
smallest largest 	tempfile rename 
improve algorithm 	tempfile close tempfile 
performance first 	success failure 
thing output 	errno appropriately best 
total number 	temporary file 
elements 	attempt create temporary 
since multi 	file specified 
bulk write 	path file 
stage know 	descriptor writing error 
intersection size 	error file 
use trick 	already exists path 
append 	existing file 
empty output 	tempfile meaning deleted 
list save 	program exits 
pointer later 	tempfile considered closed 
modify right 	worked like 
length target 	closed tempfile example 
key 	opened reopen 
store resulting 	tempfile mks tempfile 
create key 	functions following 
empty inside 	functions attempt create 
iterate elements 	open temporary 
first smallest 	files names derived 
test 	automatically manner 
element sets 	mkstemps arrange 
least one 	deleted program ends 
include element 	deleted explicitly 
discarded intset 	whole family functions 
intset simple 	named according 
fast 	following pattern mks 
order compare 	tempfile optional 
integer use 	letters following meanings 
function creating 	die temporary 
optimization source 	file cannot created 
integer encoded 	create temporary 
target 	file tmpdir opposed 
intset much 	relative current 
faster path 	directory variants used 
check easy 	pattern filename 
use type 	alone without path 
agnostic api 	includes suffix 
take 	suffixlen characters temporary 
action sets 	file created 
contain member 	specified mode 
store resulting 	otherwise mode none 
target intersection 	functions modify 
empty diff 	caller wants know 
algorithm 	absolute path 
use algorithm 	file created read 
size element 	tempfile filename 
first total 	success functions file 
number sets 	descriptor open 
algorithm total 	writing temporary file 
number 	errors errno 
elements sets 	appropriately variants die 
compute best 	errors see 
bet current 	mks tempfile functions 
input algorithm 	see mks 
better constant 	tempfile functions see 
times 	mks tempfile 
performs less 	functions see mks 
operations elements 	tempfile functions 
common give 	see mks 
advantage algorithm 	tempfile functions see 
better order 	mks tempfile 
sets 	functions see mks 
subtract decreasing 	tempfile functions 
size likely 	see mks tempfile 
find duplicated 	functions see 
elements asap 	mks tempfile functions 
need temp 	see mks 
store 	tempfile functions associate 
dstkey inside 	stdio stream 
sunionstore operation 	temporary file must 
resulting target 	still open 
key trivial 	without deleting file 
every element 	error stream 
every 	closed automatically close 
temporary non 	tempfile called 
existing keys 	file deleted renamed 
like empty 	path lockfile 
sets diff 	pointer field 
algorithm perform 	within file freed 
diff 	temporary file 
iterating elements 	still open close 
first adding 	file pointer 
target element 	opened fdopen tempfile 
exist sets 	without deleting 
way perform 	file upon success 
max 	failure close 
operations size 	negative file usually 
first number 	tempfile rename 
sets key 	tempfile eventually called 
empty element 	close tempfile 
diff algorithm 	succeeds open temporary 
elements 	file closed 
first auxiliary 	close tempfile yet 
elements next 	deleted renamed 
sets sum 	used implement 
elements every 	sequence operations like 
non existing 	following create 
keys 	temporary file write 
like empty 	contents file 
sets exit 	close tempfile cause 
result empty 	contents written 
additional removal 	disk pass name 
elements effect 	temporary file 
output 	another program allow 
content resulting 	nobody inspect 
store mode 	even modify file 
target key 	contents reopen 
store resulting 	tempfile reopen temporary 
create key 	file make 
result 	updates contents rename 
inside t 	tempfile move 
stringc size 	file permanent location 
flags key 	close file 
val expire 	descriptor file 
unit reply 	pointer temporary file 
abort 	associated tempfile 
reply milliseconds 	call tempfile tempfile 
expire unit 	already deleted 
flags next 	renamed close file 
offset olen 	descriptor file 
start end 	pointer still open 
str 	atomically rename 
llbuf strlen 	temporary file path 
busykeys incr 	path must 
oldvalue incr 	filesystem file success 
incr incr 	failure temporary 
aux totlen 	file errno failing 
append 	call close 
reply error 	rename bug call 
reply reply 	rename tempfile 
error format 	tempfile currently active 
lookup key 	tempfile terminal.c 
write lookup 	sig term 
key 	old term hconin 
write reply 	cmode prompt 
key expire 	echo buf input 
mstime notify 	output prompt 
keyspace notify 	echo restore term 
keyspace reply 	sigchain pop 
reply 	tcsetattr close open 
encoding command 	tcgetattr sigchain 
encoding command 	push common tcsetattr 
encoding command 	close console 
encoding command 	mode close handle 
lookup key 	create file 
read 	console mode sigchain 
reply reply 	push common 
reply bulk 	console mode close 
command command 	handle fopen 
encoding key 	fopen fclose disable 
notify keyspace 	echo fclose 
reply 	fclose fputs 
reply error 	fflush strbuf getline 
lookup key 	putc fflush 
write sdslen 	restore term fclose 
reply check 	fclose getpass 
length sdslen 	terminal.h prompt echo 
create 	compat terminal 
sdsnewlen sdslen 	test-chmtime.c usage str 
check type 	arg time 
len sdslen 	test timespec argc 
reply check 	argv verbose 
length sdslen 	time utb mtime 
unshare 	strtol time 
sdslen sdsgrowzero 	strcmp strcmp timespec 
sdslen memcpy 	arg stat 
sdslen signal 	strerror chmod strerror 
modified key 	utime strerror 
notify keyspace 	program either 
reply 	change modification time 
sdslen reply 	given file 
reply lookup 	print program change 
key read 	atime ctime 
reply check 	values explicitly preserved 
type sdslen 	mtime changed 
reply 	absolute test chmtime 
reply bulk 	seconds file 
buffer reply 	relative current time 
multi bulk 	returned time 
len lookup 	test chmtime seconds 
key read 	seconds file 
reply 	relative current mtime 
reply reply 	file test 
bulk reply 	chmtime seconds file 
error lookup 	test chmtime 
key write 	seconds seconds file 
reply encoding 	examples print 
key 	mtime use 
notify keyspace 	verbose file mtime 
reply mset 	offset test 
command mset 	chmtime file mtime 
command lookup 	current time 
key write 	test chmtime file 
check 	relative future 
type reply 	mtime change test-config.c 
reply error 	argc argv 
create overwrite 	val strptr err 
signal modified 	err git 
key notify 	configset init strcmp 
keyspace 	git config 
reply reply 	strcmp git config 
reply incr 	multi strcmp 
decr command 	git config strcmp 
incr decr 	git config 
command reply 	strcmp git config 
incr 	strcmp git 
decr command 	configset file 
reply incr 	git configset strcmp 
decr command 	git configset 
lookup key 	file git configset 
write check 	multi die 
type 	git configset clear 
reply reply 	git configset 
isnan isinf 	clear git configset 
reply error 	clear program 
create overwrite 	exposes api configuration 
signal modified 	mechanism simple 
key 	commands order facilitate 
notify keyspace 	testing reads 
reply bulk 	stdin prints result 
create rewrite 	command stdout 
client command 	prints highest priority 
argument decr 	entered key 
count 	multi prints values 
rewrite client 	entered key 
command argument 	increasing order 
lookup key 	priority print integer 
write encoding 	entered key 
incr count 	die print entered 
len 	key die 
check type 	print entered key 
len sdslen 	die configset 
check length 	returns highest priority 
unshare sdscatlen 	entered key 
sdslen sdslen 	config constructed files 
signal 	entered arguments 
modified key 	configset multi returns 
notify keyspace 	list entered 
reply lookup 	key sorted order 
key read 	priority config 
reply check 	constructed files entered 
type 	arguments examples 
reply len 	print highest priority 
copyright salvatore 	key foo 
sanfilippo antirez 	baz rock 
gmail dot 	test config foo 
rights reserved 	baz rock 
redistribution 	test-ctype.c argc argv 
use source 	strchr test 
binary forms 	test test test 
without modification 	test find 
permitted provided 	nul strchr classless 
following conditions 	anyway test-date.c 
met 	usage msg argv 
redistributions source 	buf argv 
code must 	result argv argc 
retain copyright 	argv atoi 
notice list 	show date relative 
conditions following 	strbuf release 
disclaimer 	strbuf reset parse 
redistributions binary 	date sscanf 
form must 	show date 
reproduce copyright 	date mode strbuf 
notice list 	release approxidate 
conditions following 	relative show date 
disclaimer 	date mode 
documentation materials 	getenv atoi gettimeofday 
provided distribution 	usage strcmp 
neither name 	show dates strcmp 
redis names 	parse dates 
contributors may 	strcmp parse approxidate 
used 	usage test-delta.c 
endorse promote 	usage str argc 
products derived 	argv buf 
software without 	data buf buf 
specific prior 	size data 
written permission 	size size strcmp 
software 	strcmp open 
provided copyright 	fstat perror mmap 
holders contributors 	perror close 
express implied 	close open 
warranties including 	fstat perror mmap 
limited implied 	perror close 
warranties 	close diff delta 
merchantability fitness 	patch delta 
particular purpose 	open write full 
disclaimed shall 	perror test 
copyright owner 	delta test code 
